Designator,Value,Footprint,Mid X,Mid Y,Layer,Rotation
Exported,from,microDriver_v2.brd,microDriver_v2.brd,at,Top,17:04
EAGLE,Version,9.6.2,(c),1988-2020,Top,Inc.
B1,B3U,B3U,zz-upenn,(5.5468,Top,R90
C1,2.2u,C0402,rcl,(3.144,Top,R90
C2,2.2u,C0402,rcl,(3.14,Top,R270
C3,1u,C0402,rcl,(36.8848,Top,R0
C4,1u,C0402,rcl,(24.1594,Top,R180
C5,2.2u,C0402,rcl,(15.8536,Top,R90
C6,2.2u,C0402,rcl,(11.053,Top,R90
C7,4.7u,C0805K,resistor,(41.530253125,Top,R0
C8,1u,C0402,rcl,(24.515,Top,R180
C9,2.2u,C0402,rcl,(24.515,Top,R180
C10,1000p,C0402,rcl,(36.312984375,Top,R90
C11,1000p,C0402,rcl,(37.212375,Top,R270
C12,0.1u,C0402,rcl,(9.12495,Top,R180
C13,2200p,C0402,rcl,(3.14,Top,R270
C14,2200p,C0402,rcl,(7.516,Top,R180
C15,2200p,C0402,rcl,(3.148,Top,R90
C16,0.1u,C0402,rcl,(11.049,Top,R180
C17,1000p,C0402,rcl,(38.355375,Top,R270
C18,0.1u,C0402,rcl,(8.64,Top,R270
C19,2.2u,C0402,rcl,(5.359,Top,R270
C20,2.2u,C0402,rcl,(10.164,Top,R90
C21,2.2u,C0402,rcl,(9.275,Top,R90
C22,2.2u,C0402,rcl,(11.913090625,Top,R270
C23,2.2u,C0402,rcl,(22.58665,Top,R0
C24,0.1u,C0402,rcl,(8.386,Top,R90
C25,0.47uF,C0402,rcl,(9.12495,Top,R180
C26,2.2u,C0402,rcl,(22.5936375,Top,R0
C27,2.2u,C0402,rcl,(3.158696875,Top,R270
C28,2.2u,C0402,rcl,(3.137828125,Top,R90
C29,2.2u,C0402,rcl,(17.022,Top,R90
C30,2.2u,C0402,rcl,(12.831,Top,R270
C31,1u,C0402,rcl,(23.598,Top,R180
C32,1u,C0402,rcl,(35.06263125,Top,R90
C33,0.47uF,C0402,rcl,(23.372,Top,R0
C34,0.47uF,C0402,rcl,(34.802,Top,R0
C35,0.1u,C0402,rcl,(39.1454,Top,R180
C36,0.1u,C0402,rcl,(36.961,Top,R0
C37,0.1u,C0402,rcl,(4.32,Top,R0
C38,0.1u,C0402,rcl,(9.148,Top,R0
C39,0.1u,C0402,rcl,(7.3942,Top,R270
C40,0.1u,C0402,rcl,(1.02,Top,R90
C41,.047u,C0402,rcl,(24.515,Top,R0
C42,.047u,C0402,rcl,(24.515,Top,R0
C43,1u,C0402,rcl,(24.515,Top,R180
C44,1u,C0402,rcl,(36.961,Top,R0
C45,4.7u,C0805K,resistor,(37.977,Top,R0
C46,1u,C0402,rcl,(36.961,Top,R0
C47,2.2u,C0402,rcl,(36.961,Top,R0
C48,1000p,C0402,rcl,(25.531,Top,R270
C49,2200p,C0402,rcl,(7.243,Top,R270
C50,0.001u,C0402,rcl,(48.118,Top,R0
C51,0.001u,C0402,rcl,(45.751,Top,R270
C52,0.001u,C0402,rcl,(45.751,Top,R270
C53,0.001u,C0402,rcl,(46.359,Top,R180
C54,0.001u,C0402,rcl,(45.751,Top,R270
C55,0.001u,C0402,rcl,(45.751,Top,R90
C56,2200p,C0402,rcl,(7.243,Top,R270
C57,2200p,C0402,rcl,(7.243,Top,R90
C58,0.1u,C0402,rcl,(9.148,Top,R0
C59,1000p,C0402,rcl,(24.642,Top,R90
C60,0.1u,C0402,rcl,(9.798,Top,R180
C61,1000p,C0402,rcl,(23.753,Top,R90
C62,0.1u,C0402,rcl,(9.348,Top,R0
C63,0.47uF,C0402,rcl,(40.39,Top,R0
C64,0.47uF,C0402,rcl,(31.5,Top,R0
C65,0.47uF,C0402,rcl,(17.53,Top,R0
C66,.047u,C0402,rcl,(36.961,Top,R180
C67,.047u,C0402,rcl,(36.961,Top,R0
C68,1uF,C0603,rcl,(44.237,Top,R270
C69,1uF,C0402,rcl,(41.8748,Top,R180
C70,10uF,C0402,rcl,(44.7184,Top,R90
C71,1uF,C0402,rcl,(42.1046,Top,R180
C72,1uF,C0402,rcl,(40.6528,Top,R90
D1,PWR,CHIP-LED0603,led,(20.1232,Top,R90
D2,ERROR,CHIP-LED0603,led,(38.2588,Top,R0
D3,ERROR,CHIP-LED0603,led,(39.5796,Top,R180
D4,CHIP-LED0603,led,led,(3.4608,Top,R180
D5,CHIP-LED0603,led,led,(4.7054,Top,R0
I1,NR4018,4X4,zz-jpf,(41.773,Top,R0
L1,BKP1005HS221-T,R0402,rcl,(4.52,Top,R270
L2,BLM15PD600SN1D,R0402,rcl,(18.038,Top,R90
M1,AMP-8,AMP-MINITEK-8,zz-MPI,(5.3466,Top,R0
Q1,CSD18540,Q5B,zz-MPI,(13.212,Top,R90
Q2,CSD18540,Q5B,zz-MPI,(24.642,Top,R90
Q3,CSD18540,Q5B,zz-MPI,(36.072,Top,R90
Q4,CSD18540,Q5B,zz-MPI,(18.927,Top,R270
Q5,CSD18540,Q5B,zz-MPI,(30.357,Top,R270
Q6,CSD18540,Q5B,zz-MPI,(41.787,Top,R270
Q7,CSD18540,Q5B,zz-MPI,(41.787,Top,R270
Q8,CSD18540,Q5B,zz-MPI,(36.072,Top,R90
Q9,CSD18540,Q5B,zz-MPI,(30.357,Top,R270
Q10,CSD18540,Q5B,zz-MPI,(24.642,Top,R90
Q11,CSD18540,Q5B,zz-MPI,(18.927,Top,R270
Q12,CSD18540,Q5B,zz-MPI,(13.212,Top,R90
QEP_A,DF13-5P-1.25DSA,DF13-5P-1.25DSA,con-hirose-df13,(48.6,Top,R270
QEP_B,DF13-5P-1.25DSA,DF13-5P-1.25DSA,con-hirose-df13,(48.6,Top,R270
R1,120,R0402,rcl,(17.887,Top,R0
R2,10k,R0402,rcl,(6.735,Top,R180
R3,56,R0402,rcl,(3.14,Top,R270
R4,56,R0402,rcl,(7.516,Top,R0
R5,56,R0402,rcl,(3.14,Top,R90
R6,2.2k,R0402,rcl,(5.794,Top,R180
R7,0.007,R2512,resistor,(18.292,Top,MR270
R8,62.0k,R0402,rcl,(11.049,Top,R180
R9,4.99k,R0402,rcl,(11.049,Top,R180
R10,2.2k,R0402,rcl,(7.3688,Top,R90
R11,0.007,R2512,resistor,(29.722,Top,MR270
R12,62.0k,R0402,rcl,(9.12495,Top,R0
R13,1K,R0402,rcl,(46.159,Top,R0
R14,4.99k,R0402,rcl,(9.12495,Top,R180
R15,0.007,R2512,resistor,(41.152,Top,MR270
R16,62.0k,R0402,rcl,(9.12495,Top,R180
R17,4.99k,R0402,rcl,(9.6306,Top,R270
R18,2.2k,R0402,rcl,(39.1454,Top,R180
R19,330,R0402,rcl,(39.5542,Top,R270
R20,100,R0402,rcl,(36.961,Top,R180
R21,100,R0402,rcl,(24.4896,Top,R0
R22,330,R0402,rcl,(37.2476,Top,R270
R23,10k,R0402,rcl,(6.735,Top,R180
R24,56,R0402,rcl,(9.148,Top,R180
R25,56,R0402,rcl,(9.148,Top,R180
R26,56,R0402,rcl,(9.148,Top,R180
R27,0.007,R2512,resistor,(36.707,Top,MR90
R28,62.0k,R0402,rcl,(9.148,Top,R180
R29,1K,R0402,rcl,(45.751,Top,R270
R30,4.99k,R0402,rcl,(9.148,Top,R0
R31,0.007,R2512,resistor,(25.277,Top,MR90
R32,62.0k,R0402,rcl,(9.798,Top,R0
R33,4.99k,R0402,rcl,(9.798,Top,R180
R34,120,R0402,rcl,(7.2178625,Top,R270
R35,10K,R0402,rcl,(1.02,Top,R90
R36,0.007,R2512,resistor,(13.847,Top,MR90
R37,62.0k,R0402,rcl,(9.798,Top,R180
R38,330,R0402,rcl,(4.7832,Top,R270
R39,330,R0402,rcl,(5.715,Top,R180
R40,4.99k,R0402,rcl,(9.348,Top,R0
R41,62.0k,R0402,rcl,(9.148,Top,R180
R42,10K,R0402,rcl,(7.243,Top,R90
R43,0R,R0402,rcl,(5.973,Top,R90
R44,0R,R0402,rcl,(0.9908625,Top,R90
R45,4.99k,R0402,rcl,(9.148,Top,R0
R46,1K,R0402,rcl,(45.751,Top,R270
R47,1K,R0402,rcl,(48.645,Top,R180
R48,1K,R0402,rcl,(45.751,Top,R270
R49,1K,R0402,rcl,(45.751,Top,R90
T1,7343-CAP,M7343-CAP,zz-MPI,(39.12,Top,MR0
T2,7343-CAP,M7343-CAP,zz-MPI,(28.96,Top,MR0
T3,7343-CAP,M7343-CAP,zz-MPI,(39.12,Top,MR0
T4,7343-CAP,M7343-CAP,zz-MPI,(28.96,Top,MR0
T5,7343-CAP,M7343-CAP,zz-MPI,(47.25,Top,R270
T6,7343-CAP,M7343-CAP,zz-MPI,(47.25,Top,R270
U$1,DF13-2P-1.25DSA,DF13-2P-1.25DSA,con-hirose-df13,(6.45,Top,R0
U$2,GND-AGND,GND-AGND,zz-MPI,(47.324603125,Top,MR90
U$3,BLDC_PAD,BLDC_PAD,zz-MPI,(38.358,Top,R0
U$4,BLDC_PAD,BLDC_PAD,zz-MPI,(26.928,Top,R0
U$5,BLDC_PAD,BLDC_PAD,zz-MPI,(15.498,Top,R0
U$6,BLDC_PAD,BLDC_PAD,zz-MPI,(16.768,Top,R0
U$7,BLDC_PAD,BLDC_PAD,zz-MPI,(28.198,Top,R0
U$8,BLDC_PAD,BLDC_PAD,zz-MPI,(39.628,Top,R0
U$9,BLDC_PAD,BLDC_PAD,zz-MPI,(1.9,Top,R0
U$10,BLDC_PAD,BLDC_PAD,zz-MPI,(1.9,Top,R0
U$11,DF13-5P-1.25DSA,DF13-5P-1.25DSA,con-hirose-df13,(0.4,Top,R90
U$12,DF13-4P-1.25DSA,DF13-4P-1.25DSA,con-hirose-df13,(0.4,Top,R90
U$13,DF13-8P-1.25DSA,DF13-8P-1.25DSA,con-hirose-df13,(0.4,Top,R90
U1,TMS320F28069MPZT,PQFP100,LAUNCHXL-F28027,(12.577,Top,R0
U2,SN74LVC2G07,SOT23-6-DBV,texas,(7.4969875,Top,R90
U3,SN65HVD234D,SOIC8-PDSO,LAUNCHXL-F28027,(5.9438625,Top,R180
U4,TXB0106,VQFN-N16,zz-MPI,(39.12,Top,R270
U5,DRV8305,HTQFP-48,zz-MPI,(30.738,Top,R270
U6,DRV8305,HTQFP-48,zz-MPI,(30.738,Top,R90
U7,MAX15062,TDFN-8,zz-jpf,(41.8518,Top,R180
U8,TLV70033DSER,SON50P150X150X80-6N,Instruments_By_element14_Batch_1,(41.9352,Top,R270
