Comment,Designator,Footprint

22n,C1,0402
470p,C2,0402
1u,C3,LOW
100n,C4,0402
100n,C5,0402
100n,C6,0402
100n,C7,0402
100n,C8,0402
100n,C9,0402
22u,C10,C0805
22u,C11,C0805
22u,C12,C0805
2.2u,C13,C1210
1u,C14,0402
3.3n,C15,0402
RED,D1,CHIPLED_0603
GREEN,D2,CHIPLED_0603
SN74HC138PW,IC1,SOP65P640X120-16N
MAX17502EATB+T,IC2,SON50P200X300X80-11N
WS2812B,IC3,WS2812B
WS2812B,IC4,WS2812B
0,L,0402
15uH,L1,LPS6235
DF13-2P-1.25DSA,POWER,DF13-2P-1.25DSA
DF13-5P-1.25DSA,PROG,DF13-5P-1.25DSA
10,R1,0402
10,R2,0402
10,R3,0402
10,R4,0402
4.7k,R5,0402
33,R6,0402
12.1k,R7,0402
330,R8,0402
330,R9,0402
49.9,R10,0402
49.9,R11,0402
49.9,R12,0402
49.9,R13,0402
330,R14,0402
4.7k,R15,0402
4.7k,R16,0402
1.5k,R17,0402
330,R18,0402
4.7k,R19,0402
10,R20,0402
10,R21,0402
4.7k,R22,0402
DF13-5P-1.25DSA,SPI_0,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_1,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_2,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_3,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_4,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_5,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_6,DF13-5P-1.25DSA
DF13-5P-1.25DSA,SPI_7,DF13-5P-1.25DSA
B3U-1000P-2P-SMD,SW1,SW2-2.6-3.0X2.5X1.2+0.4MM
ESP32-WROOM,U$1,ESP32-WROOM-32D
LAN8720,U$2,QFN24
HR911105A,U$3,HANRUN_HR911105A
DF13-6P-1.25DSA,U$4,DF13-6P-1.25DSA
DF13-3P-1.25DSA,U$5,DF13-3P-1.25DSA
DF13-4P-1.25DSA,U$6,DF13-4P-1.25DSA
