Designator,Mid X,Mid Y,Layer,Rotation
C1,24.13,16.35125,T,180
C2,35.2425,5.23875,T,0
C3,35.2425,6.35,T,0
C4,39.52875,7.9375,T,0
C5,24.13,17.4625,T,180
C6,27.6225,15.24,T,0
C7,29.1142,17.5792,T,0
C8,39.37,14.76375,T,0
C9,62.5475,9.36625,T,0
C10,60.48375,6.0325,T,180
C11,42.8625,31.90875,T,270
C12,45.56125,31.90875,T,270
C13,44.4373,28.11145,T,180
C14,35.00755,24.58085,T,270
C15,41.11625,24.28875,T,90
D1,61.9125,14.605,T,270
D2,61.9125,16.03375,T,270
IC1,28.8925,20.955,T,180
IC2,38.25875,24.60625,T,0
IC3,50.64125,11.43,T,90
IC4,32.42875,17.58375,B,90
L,30.1625,14.76375,T,270
L1,37.30625,30.95625,T,90
POWER,49.53,30.1625,T,180
PROG,56.1975,30.1625,T,180
R1,39.37,5.3975,T,180
R2,39.37,6.6675,T,180
R3,39.21125,9.2075,T,180
R4,39.37,10.4775,T,180
R5,39.37,13.6525,T,0
R6,33.02,5.3975,T,90
R7,27.78125,8.5725,T,0
R8,24.13,8.73125,T,0
R9,24.13,7.46125,T,0
R10,24.13,13.335,T,0
R11,24.13,15.24,T,0
R12,24.13,10.00125,T,0
R13,24.13,12.065,T,0
R14,57.30875,9.2075,T,270
R15,62.5475,8.09625,T,0
R16,39.37,12.3825,T,0
R17,55.72125,20.16125,T,0
R18,56.8325,18.89125,T,0
R19,58.7375,9.2075,T,270
R20,40.9575,15.24,B,225
R21,41.91,16.1925,B,225
R22,55.88,8.5725,T,270
SPI_0,4.6863,28.2829,T,90
SPI_1,8.47725,28.2829,T,90
SPI_2,12.2682,28.2829,T,90
SPI_3,16.05915,28.2829,T,90
SPI_4,19.8501,28.2829,T,90
SPI_5,23.64105,28.2829,T,90
SPI_6,27.432,28.2829,T,90
SPI_7,31.22295,28.2829,T,90
SW1,61.43625,11.43,T,180
U$1,46.355,7.3025,B,90
U$2,33.02,10.16,T,90
U$3,11.1125,14.2875,T,270
U$4,53.34,2.8575,T,0
U$5,38.4175,2.8575,T,0
U$6,44.92625,2.8575,T,0
