Designator,Mid X,Mid Y,Layer,Rotation
B1,5.5468mm,42.2656mm,T,90
C1,3.144mm,30.58mm,T,90
C2,3.14mm,23.942mm,T,270
C3,36.8848mm,28.8354mm,T,0
C4,24.1594mm,27.8194mm,T,180
C5,15.8536mm,35.033mm,T,90
C6,11.053mm,35.057190625mm,T,90
C7,41.530253125mm,36.72739375mm,T,0
C8,24.515mm,34.144mm,T,180
C9,24.515mm,33.255mm,T,180
C10,36.312984375mm,34.631159375mm,T,90
C11,37.212375mm,34.62674375mm,T,270
C12,9.12495mm,44.17695mm,T,180
C13,3.14mm,19.886mm,T,270
C14,7.516mm,14.536mm,T,180
C15,3.148mm,17.4mm,T,90
C16,11.049mm,49.1236mm,T,180
C17,38.355375mm,34.62674375mm,T,270
C18,8.64mm,41.2846mm,T,270
C19,5.359mm,15.15mm,T,270
C20,10.164mm,35.033mm,T,90
C21,9.275mm,35.033mm,T,90
C22,11.913090625mm,14.869221875mm,T,270
C23,22.58665mm,25.467353125mm,T,0
C24,8.386mm,35.033mm,T,90
C25,9.12495mm,39.859mm,T,180
C26,22.5936375mm,24.097909375mm,T,0
C27,3.158696875mm,28.330803125mm,T,270
C28,3.137828125mm,25.795053125mm,T,90
C29,17.022mm,35.033mm,T,90
C30,12.831mm,14.84mm,T,270
C31,23.598mm,26.606mm,T,180
C32,35.06263125mm,24.169471875mm,T,90
C33,23.372mm,37.7mm,T,0
C34,34.802mm,37.7mm,T,0
C35,39.1454mm,21.0376mm,T,180
C36,36.961mm,22.079mm,T,0
C37,4.32mm,11.918mm,T,0
C38,9.148mm,10.649mm,T,0
C39,7.3942mm,42.719571875mm,T,270
C40,1.02mm,7.472mm,T,90
C41,24.515mm,31.096mm,T,0
C42,24.515mm,31.985mm,T,0
C43,24.515mm,20.809mm,T,180
C44,36.961mm,21.19mm,T,0
C45,37.977mm,13.951mm,T,0
C46,36.961mm,15.475mm,T,0
C47,36.961mm,16.364mm,T,0
C48,25.531mm,14.967mm,T,270
C49,7.243mm,9.252mm,T,270
C50,48.118mm,44.939mm,T,0
C51,45.751mm,36.938mm,T,270
C52,45.751mm,41.002mm,T,270
C53,46.359mm,5.061mm,T,180
C54,45.751mm,6.966mm,T,270
C55,45.751mm,13.189mm,T,90
C56,7.243mm,11.157mm,T,270
C57,7.243mm,13.062mm,T,90
C58,9.148mm,7.982mm,T,0
C59,24.642mm,14.967mm,T,90
