Comment,Designator,Footprint
B3U,B1,B3U
2.2u,C1,C0402
2.2u,C2,C0402
1u,C3,C0402
1u,C4,C0402
2.2u,C5,C0402
2.2u,C6,C0402
4.7u,C7,C0805K
1u,C8,C0402
2.2u,C9,C0402
1000p,C10,C0402
1000p,C11,C0402
0.1u,C12,C0402
2200p,C13,C0402
2200p,C14,C0402
2200p,C15,C0402
0.1u,C16,C0402
1000p,C17,C0402
0.1u,C18,C0402
2.2u,C19,C0402
2.2u,C20,C0402
2.2u,C21,C0402
2.2u,C22,C0402
2.2u,C23,C0402
0.1u,C24,C0402
0.47uF,C25,C0402
2.2u,C26,C0402
2.2u,C27,C0402
2.2u,C28,C0402
2.2u,C29,C0402
2.2u,C30,C0402
1u,C31,C0402
1u,C32,C0402
0.47uF,C33,C0402
0.47uF,C34,C0402
0.1u,C35,C0402
0.1u,C36,C0402
0.1u,C37,C0402
0.1u,C38,C0402
0.1u,C39,C0402
0.1u,C40,C0402
.047u,C41,C0402
.047u,C42,C0402
1u,C43,C0402
1u,C44,C0402
4.7u,C45,C0805K
1u,C46,C0402
2.2u,C47,C0402
1000p,C48,C0402
2200p,C49,C0402
0.001u,C50,C0402
0.001u,C51,C0402
0.001u,C52,C0402
0.001u,C53,C0402
0.001u,C54,C0402
0.001u,C55,C0402
2200p,C56,C0402
2200p,C57,C0402
0.1u,C58,C0402
1000p,C59,C0402
0.1u,C60,C0402
1000p,C61,C0402
0.1u,C62,C0402
0.47uF,C63,C0402
0.47uF,C64,C0402
0.47uF,C65,C0402
.047u,C66,C0402
.047u,C67,C0402
1uF,C68,C0603
1uF,C69,C0402
10uF,C70,C0402
1uF,C71,C0402
1uF,C72,C0402
PWR,D1,CHIP-LED0603
ERROR,D2,CHIP-LED0603
ERROR,D3,CHIP-LED0603
CHIP-LED0603,D4,led
CHIP-LED0603,D5,led
NR4018,I1,4X4
BKP1005HS221-T,L1,R0402
BLM15PD600SN1D,L2,R0402
AMP-8,M1,AMP-MINITEK-8
CSD18540,Q1,Q5B
CSD18540,Q2,Q5B
CSD18540,Q3,Q5B
CSD18540,Q4,Q5B
CSD18540,Q5,Q5B
CSD18540,Q6,Q5B
CSD18540,Q7,Q5B
CSD18540,Q8,Q5B
CSD18540,Q9,Q5B
CSD18540,Q10,Q5B
CSD18540,Q11,Q5B
CSD18540,Q12,Q5B
DF13-5P-1.25DSA,QEP_A,DF13-5P-1.25DSA
DF13-5P-1.25DSA,QEP_B,DF13-5P-1.25DSA
120,R1,R0402
10k,R2,R0402
56,R3,R0402
56,R4,R0402
56,R5,R0402
2.2k,R6,R0402
0.007,R7,R2512
62.0k,R8,R0402
4.99k,R9,R0402
2.2k,R10,R0402
0.007,R11,R2512
62.0k,R12,R0402
1K,R13,R0402
4.99k,R14,R0402
0.007,R15,R2512
62.0k,R16,R0402
4.99k,R17,R0402
2.2k,R18,R0402
330,R19,R0402
100,R20,R0402
100,R21,R0402
330,R22,R0402
10k,R23,R0402
56,R24,R0402
56,R25,R0402
56,R26,R0402
0.007,R27,R2512
62.0k,R28,R0402
1K,R29,R0402
4.99k,R30,R0402
0.007,R31,R2512
62.0k,R32,R0402
4.99k,R33,R0402
120,R34,R0402
10K,R35,R0402
0.007,R36,R2512
62.0k,R37,R0402
330,R38,R0402
330,R39,R0402
4.99k,R40,R0402
62.0k,R41,R0402
10K,R42,R0402
0R,R43,R0402
0R,R44,R0402
4.99k,R45,R0402
1K,R46,R0402
1K,R47,R0402
1K,R48,R0402
1K,R49,R0402
7343-CAP,T1,M7343-CAP
7343-CAP,T2,M7343-CAP
7343-CAP,T3,M7343-CAP
7343-CAP,T4,M7343-CAP
7343-CAP,T5,M7343-CAP
7343-CAP,T6,M7343-CAP
DF13-2P-1.25DSA,U$1,DF13-2P-1.25DSA
GND-AGND,U$2,GND-AGND
BLDC_PAD,U$3,BLDC_PAD
BLDC_PAD,U$4,BLDC_PAD
BLDC_PAD,U$5,BLDC_PAD
BLDC_PAD,U$6,BLDC_PAD
BLDC_PAD,U$7,BLDC_PAD
BLDC_PAD,U$8,BLDC_PAD
BLDC_PAD,U$9,BLDC_PAD
BLDC_PAD,U$10,BLDC_PAD
DF13-5P-1.25DSA,U$11,DF13-5P-1.25DSA
DF13-4P-1.25DSA,U$12,DF13-4P-1.25DSA
DF13-8P-1.25DSA,U$13,DF13-8P-1.25DSA
TMS320F28069MPZT,U1,PQFP100
SN74LVC2G07,U2,SOT23-6-DBV
SN65HVD234D,U3,SOIC8-PDSO
TXB0106,U4,VQFN-N16
DRV8305,U5,HTQFP-48
DRV8305,U6,HTQFP-48
MAX15062,U7,TDFN-8
TLV70033DSER,U8,SON50P150X150X80-6N
