Designator,Mid X,Mid Y,Layer,Rotation
B1,5.5468,42.2656,T,90
C1,3.144,30.58,T,90
C2,3.14,23.942,T,270
C3,36.8848,28.8354,T,0
C4,24.1594,27.8194,T,180
C5,15.8536,35.033,T,90
C6,11.053,35.057190625,T,90
C7,41.530253125,36.72739375,T,0
C8,24.515,34.144,T,180
C9,24.515,33.255,T,180
C10,36.312984375,34.631159375,T,90
C11,37.212375,34.62674375,T,270
C12,9.12495,44.17695,T,180
C13,3.14,19.886,T,270
C14,7.516,14.536,T,180
C15,3.148,17.4,T,90
C16,11.049,49.1236,T,180
C17,38.355375,34.62674375,T,270
C18,8.64,41.2846,T,270
C19,5.359,15.15,T,270
C20,10.164,35.033,T,90
C21,9.275,35.033,T,90
C22,11.913090625,14.869221875,T,270
C23,22.58665,25.467353125,T,0
C24,8.386,35.033,T,90
C25,9.12495,39.859,T,180
C26,22.5936375,24.097909375,T,0
C27,3.158696875,28.330803125,T,270
C28,3.137828125,25.795053125,T,90
C29,17.022,35.033,T,90
C30,12.831,14.84,T,270
C31,23.598,26.606,T,180
C32,35.06263125,24.169471875,T,90
C33,23.372,37.7,T,0
C34,34.802,37.7,T,0
C35,39.1454,21.0376,T,180
C36,36.961,22.079,T,0
C37,4.32,11.918,T,0
C38,9.148,10.649,T,0
C39,7.3942,42.719571875,T,270
C40,1.02,7.472,T,90
C41,24.515,31.096,T,0
C42,24.515,31.985,T,0
C43,24.515,20.809,T,180
C44,36.961,21.19,T,0
C45,37.977,13.951,T,0
C46,36.961,15.475,T,0
C47,36.961,16.364,T,0
C48,25.531,14.967,T,270
C49,7.243,9.252,T,270
C50,48.118,44.939,T,0
C51,45.751,36.938,T,270
C52,45.751,41.002,T,270
C53,46.359,5.061,T,180
C54,45.751,6.966,T,270
C55,45.751,13.189,T,90
C56,7.243,11.157,T,270
C57,7.243,13.062,T,90
C58,9.148,7.982,T,0
C59,24.642,14.967,T,90
C60,9.798,1.959,T,180
C61,23.753,14.967,T,90
C62,9.348,4.476,T,0
C63,40.39,12.173,T,0
C64,31.5,12.173,T,0
C65,17.53,12.173,T,0
C66,36.961,18.65,T,180
C67,36.961,17.253,T,0
C68,44.237,28.7432,T,270
C69,41.8748,28.2882,T,180
C70,44.7184,35.9546,T,90
C71,42.1046,21.3082,T,180
C72,40.6528,20.1024,T,90
D1,20.1232,14.986,T,90
D2,38.2588,31.0642,T,0
D3,39.5796,19.1262,T,180
D4,3.4608,35.6362,T,180
D5,4.7054,37.592,T,0
I1,41.773,33.303,T,0
L1,4.52,15.15,T,270
L2,18.038,35.033,T,90
M1,5.3466,48.6728,T,0
Q1,13.212,43.034,T,90
Q2,24.642,43.034,T,90
Q3,36.072,43.034,T,90
Q4,18.927,43.034,T,270
Q5,30.357,43.034,T,270
Q6,41.787,43.034,T,270
Q7,41.787,6.966,T,270
Q8,36.072,6.966,T,90
Q9,30.357,6.966,T,270
Q10,24.642,6.966,T,90
Q11,18.927,6.966,T,270
Q12,13.212,6.966,T,90
QEP_A,48.6,40.24,T,270
QEP_B,48.6,9.76,T,270
R1,17.887,14.8938,T,0
R2,6.735,34.525,T,180
R3,3.14,21.725,T,270
R4,7.516,15.375,T,0
R5,3.14,15.497,T,90
R6,5.794,45.0266,T,180
R7,18.292,34.525,T,R270
R8,11.049,47.244,T,180
R9,11.049,48.1838,T,180
R10,7.3688,44.6348,T,90
R11,29.722,34.525,T,R270
R12,9.12495,45.80255,T,0
R13,46.159,44.939,T,0
R14,9.12495,44.98975,T,180
R15,41.152,34.525,T,R270
R16,9.12495,42.7736,T,180
R17,9.6306,41.2846,T,270
R18,39.1454,21.952,T,180
R19,39.5542,16.8398,T,270
R20,36.961,19.92,T,180
R21,24.4896,29.9276,T,0
R22,37.2476,30.5714,T,270
R23,6.735,35.414,T,180
R24,9.148,11.538,T,180
R25,9.148,12.427,T,180
R26,9.148,13.316,T,180
R27,36.707,15.475,T,R90
R28,9.148,6.204,T,180
R29,45.751,38.97,T,270
R30,9.148,7.093,T,0
R31,25.277,15.475,T,R90
R32,9.798,0.82,T,0
R33,9.798,2.798,T,180
R34,7.2178625,4.97451875,T,270
R35,1.02,4.957,T,90
R36,13.847,15.475,T,R90
R37,9.798,3.637,T,180
R38,4.7832,35.2806,T,270
R39,5.715,39.5304,T,180
R40,9.348,5.365,T,0
R41,9.148,9.76,T,180
R42,7.243,7.347,T,90
R43,5.973,12.427,T,90
R44,0.9908625,10.35151875,T,90
R45,9.148,8.871,T,0
R46,45.751,43.034,T,270
R47,48.645,5.061,T,180
R48,45.751,8.998,T,270
R49,45.751,11.157,T,90
T1,39.12,42.78,T,R0
T2,28.96,42.78,T,R0
T3,39.12,7.22,T,R0
T4,28.96,7.22,T,R0
T5,47.25,29.75,T,270
T6,47.25,20.25,T,270
U$1,6.45,2.35,T,0
U$2,47.324603125,19.1025375,T,R90
U$3,38.358,1.9,T,0
U$4,26.928,1.9,T,0
U$5,15.498,1.9,T,0
U$6,16.768,48.1,T,0
U$7,28.198,48.1,T,0
U$8,39.628,48.1,T,0
U$9,1.9,41,T,0
U$10,1.9,44.2,T,0
U$11,0.4,34.7,T,90
U$12,0.4,27,T,90
U$13,0.4,17.4,T,90
U1,12.577,25,T,0
U2,7.4969875,37.573,T,90
U3,5.9438625,10.41451875,T,180
U4,39.12,25,T,270
U5,30.738,19.158,T,270
U6,30.738,30.842,T,90
U7,41.8518,29.9572,T,180
U8,41.9352,18.992,T,270
